time,time2,y,yh
3.0833333333333335,0.0,20.88,16.50327412378597
3.125,0.041666666666666664,21.43,16.340727928056495
3.1666666666666665,0.08333333333333333,21.16,16.18615307437925
3.2083333333333335,0.125,20.95,16.036358675433576
3.25,0.16666666666666666,21.43,16.0174238468214
3.2916666666666665,0.20833333333333334,22.97,16.793338781442188
3.3333333333333335,0.25,23.84,18.27271531131676
3.375,0.2916666666666667,25.32,19.891593779224237
3.4166666666666665,0.3333333333333333,26.93,21.30667785928125
3.4583333333333335,0.375,28.46,22.367102622989563
3.5,0.4166666666666667,27.91,23.213313277618127
3.5416666666666665,0.4583333333333333,26.42,23.762831392341056
3.5833333333333335,0.5,26.49,23.90811567513707
3.625,0.5416666666666666,25.54,23.863955862835766
3.6666666666666665,0.5833333333333334,25.95,23.620942214911437
3.7083333333333335,0.625,24.67,22.885480986724644
3.75,0.6666666666666666,22.72,21.612729431049814
3.7916666666666665,0.7083333333333334,21.65,19.939324743225583
3.8333333333333335,0.75,21.6,17.751065981843837
3.875,0.7916666666666666,21.74,15.590555696546843
4.083333333333333,0.8333333333333334,21.08,14.35325969826421
4.125,0.875,20.74,14.297199355243592
4.166666666666667,0.9166666666666666,20.62,14.245218421635471
4.208333333333333,0.9583333333333334,20.41,14.200919130295162
4.25,1.0,21.23,14.263231971679588
4.291666666666667,1.0416666666666667,22.23,15.192266782098244
4.333333333333333,1.0833333333333333,23.85,16.99429499213592
4.375,1.125,23.83,18.678075367239217
4.416666666666667,1.1666666666666667,24.03,20.046003895589493
4.458333333333333,1.2083333333333333,26.52,21.386844207086895
4.5,1.25,25.63,22.456947305055934
4.541666666666667,1.2916666666666667,26.58,23.202615870206294
4.583333333333333,1.3333333333333333,26.57,23.632216462709692
4.625,1.375,27.59,23.605558518114172
4.666666666666667,1.4166666666666667,27.44,23.165400466039074
4.708333333333333,1.4583333333333333,26.63,22.61763222427816
4.75,1.5,25.62,21.518682546523564
4.791666666666667,1.5416666666666667,24.02,19.848504367073247
4.833333333333333,1.5833333333333333,22.75,17.540306624906208
4.875,1.625,21.95,15.150957119360172
5.083333333333333,1.6666666666666667,17.71,14.121739385080204
5.125,1.7083333333333333,17.25,14.164763333907231
5.166666666666667,1.75,16.84,14.213585412971725
5.208333333333333,1.7916666666666667,16.17,14.254567016213329
5.25,1.8333333333333333,17.12,14.393530833216943
5.291666666666667,1.875,19.68,15.252445486941458
5.333333333333333,1.9166666666666667,20.48,17.133831207571614
5.375,1.9583333333333333,22.71,19.061415119380353
5.416666666666667,2.0,23.5,20.55213436157118
5.458333333333333,2.0416666666666665,24.43,22.058760458102334
5.5,2.0833333333333335,25.1,23.464891493200142
5.541666666666667,2.125,25.5,24.48884737816852
5.583333333333333,2.1666666666666665,26.17,24.99926369049945
5.625,2.2083333333333335,26.23,25.176260665993052
5.666666666666667,2.25,25.96,25.0716992010247
5.708333333333333,2.2916666666666665,25.22,24.64261116568895
5.75,2.3333333333333335,24.21,23.751144369548783
5.791666666666667,2.375,22.81,22.12696804349844
5.833333333333333,2.4166666666666665,21.94,19.584607024721223
5.875,2.4583333333333335,21.28,17.223405417629824
9.083333333333334,2.5,18.86,21.176629031103843
9.125,2.5416666666666665,19.14,20.970020036436445
9.166666666666666,2.5833333333333335,18.53,20.772587329813103
9.208333333333334,2.625,18.19,20.57829735959616
9.25,2.6666666666666665,19.75,20.454958683863115
9.291666666666666,2.7083333333333335,23.12,21.15192239773679
9.333333333333334,2.75,25.46,22.623352793485967
9.375,2.7916666666666665,26.86,24.21315668657193
9.416666666666666,2.8333333333333335,29.75,25.658413850150417
9.458333333333334,2.875,30.47,26.81308947207718
9.5,2.9166666666666665,30.06,27.56490119895726
9.541666666666666,2.9583333333333335,30.25,28.046168936469584
9.583333333333334,3.0,32.01,28.100180673117624
9.625,3.0416666666666665,32.47,27.721594405437948
9.666666666666666,3.0833333333333335,32.0,27.318172524274488
9.708333333333334,3.125,32.13,26.524720992870066
9.75,3.1666666666666665,31.2,25.180882420161012
9.791666666666666,3.2083333333333335,29.25,23.165375701201263
9.833333333333334,3.25,27.31,20.916712073643957
9.875,3.2916666666666665,25.98,19.11127358065295
10.083333333333334,3.3333333333333335,22.43,18.212784328471734
10.125,3.375,21.01,18.190011880946432
10.166666666666666,3.4166666666666665,20.34,18.17674037473372
10.208333333333334,3.4583333333333335,20.01,18.163450469025282
10.25,3.5,22.38,18.263600862702685
10.291666666666666,3.5416666666666665,25.41,19.439125966172462
10.333333333333334,3.5833333333333335,26.61,21.60589150184718
10.375,3.625,26.99,22.985481358256372
10.416666666666666,3.6666666666666665,27.59,24.208752220778234
10.458333333333334,3.7083333333333335,29.33,25.610896677427593
10.5,3.75,28.24,26.673452496187586
10.541666666666666,3.7916666666666665,28.37,27.32258632645666
10.583333333333334,3.8333333333333335,28.57,27.423130010242836
10.625,3.875,30.87,27.170577970077595
10.666666666666666,3.9166666666666665,30.12,27.01484340378418
10.708333333333334,3.9583333333333335,28.78,26.76093405589154
10.75,4.0,27.84,25.881832046558216
10.791666666666666,4.041666666666667,26.57,23.981636335357294
10.833333333333334,4.083333333333333,25.44,21.52350784542157
10.875,4.125,24.7,19.70803185970832
11.083333333333334,4.166666666666667,21.55,19.468362943182413
11.125,4.208333333333333,21.42,19.553715278292557
11.166666666666666,4.25,21.08,19.640428947348582
11.208333333333334,4.291666666666667,19.46,19.72121302356191
11.25,4.333333333333333,21.16,19.887237155531718
11.291666666666666,4.375,23.38,20.8860217326502
11.333333333333334,4.416666666666667,24.65,22.719825165784208
