time,time2,y,yh
3.0833333333333335,0.0,18.39,21.022519729378526
3.125,0.041666666666666664,18.26,21.022519729378526
3.1666666666666665,0.08333333333333333,18.12,19.42937913780675
3.2083333333333335,0.125,18.4,19.42937913780675
3.25,0.16666666666666666,21.37,22.173545692529355
3.2916666666666665,0.20833333333333334,24.67,22.173545692529355
3.3333333333333335,0.25,26.27,23.10165513460742
3.375,0.2916666666666667,28.01,23.10165513460742
3.4166666666666665,0.3333333333333333,28.13,24.71284404035905
3.4583333333333335,0.375,28.25,24.71284404035905
3.5,0.4166666666666667,28.78,25.133978442758824
3.5416666666666665,0.4583333333333333,27.69,25.133978442758824
3.5833333333333335,0.5,28.17,25.258916980545468
3.625,0.5416666666666666,27.96,25.258916980545468
3.6666666666666665,0.5833333333333334,24.99,25.742832866614602
3.7083333333333335,0.625,25.2,25.742832866614602
3.75,0.6666666666666666,24.13,25.219394744599942
3.7916666666666665,0.7083333333333334,22.59,25.219394744599942
3.8333333333333335,0.75,21.39,21.337153635075502
3.875,0.7916666666666666,21.95,21.337153635075502
4.083333333333333,0.8333333333333334,21.01,19.282104751325182
4.125,0.875,21.15,19.282104751325182
4.166666666666667,0.9166666666666666,19.46,19.015826842282333
4.208333333333333,0.9583333333333334,18.72,19.015826842282333
4.25,1.0,19.54,22.302494277705808
4.291666666666667,1.0416666666666667,19.0,22.302494277705808
4.333333333333333,1.0833333333333333,21.29,25.19175406308186
4.375,1.125,21.69,25.19175406308186
4.416666666666667,1.1666666666666667,20.74,25.90213144164141
4.458333333333333,1.2083333333333333,22.63,25.90213144164141
4.5,1.25,23.96,25.272166485629658
4.541666666666667,1.2916666666666667,23.95,25.272166485629658
4.583333333333333,1.3333333333333333,24.01,25.36273001283947
4.625,1.375,21.93,25.36273001283947
4.666666666666667,1.4166666666666667,22.48,25.225107118481734
4.708333333333333,1.4583333333333333,22.28,25.225107118481734
4.75,1.5,22.14,21.34100010736043
4.791666666666667,1.5416666666666667,20.99,21.34100010736043
4.833333333333333,1.5833333333333333,19.99,19.945589669140308
4.875,1.625,19.05,19.945589669140308
5.083333333333333,1.6666666666666667,16.58,19.979908496226873
5.125,1.7083333333333333,16.65,19.979908496226873
5.166666666666667,1.75,16.58,19.531606867945097
5.208333333333333,1.7916666666666667,16.72,19.531606867945097
5.25,1.8333333333333333,17.87,21.791236612628094
5.291666666666667,1.875,20.15,21.791236612628094
5.333333333333333,1.9166666666666667,22.23,25.048466981106177
5.375,1.9583333333333333,22.9,25.048466981106177
5.416666666666667,2.0,25.93,26.022495276221914
5.458333333333333,2.0416666666666665,26.79,26.022495276221914
5.5,2.0833333333333335,26.63,27.208463711474455
5.541666666666667,2.125,27.91,27.208463711474455
5.583333333333333,2.1666666666666665,28.71,25.95265793367646
5.625,2.2083333333333335,28.64,25.95265793367646
5.666666666666667,2.25,28.71,25.56565944207377
5.708333333333333,2.2916666666666665,28.11,25.56565944207377
5.75,2.3333333333333335,26.56,25.44876617619455
5.791666666666667,2.375,25.36,25.44876617619455
5.833333333333333,2.4166666666666665,23.89,20.73860631938365
5.875,2.4583333333333335,22.48,20.73860631938365
9.083333333333334,2.5,20.75,21.16197963554333
9.125,2.5416666666666665,20.14,21.16197963554333
9.166666666666666,2.5833333333333335,19.47,19.955983370868392
9.208333333333334,2.625,19.47,19.955983370868392
9.25,2.6666666666666665,21.91,21.821638203932867
9.291666666666666,2.7083333333333335,26.08,21.821638203932867
9.333333333333334,2.75,26.87,24.23807987625841
9.375,2.7916666666666665,28.81,24.23807987625841
9.416666666666666,2.8333333333333335,29.2,26.52586817041471
9.458333333333334,2.875,30.48,26.52586817041471
9.5,2.9166666666666665,31.0,28.199349097977574
9.541666666666666,2.9583333333333335,30.25,28.199349097977574
9.583333333333334,3.0,30.52,27.213285021234473
9.625,3.0416666666666665,29.71,27.213285021234473
9.666666666666666,3.0833333333333335,29.84,27.41961152669749
9.708333333333334,3.125,29.03,27.41961152669749
9.75,3.1666666666666665,28.44,24.371238667890648
9.791666666666666,3.2083333333333335,28.25,24.371238667890648
9.833333333333334,3.25,26.51,21.711175446418537
9.875,3.2916666666666665,25.78,21.711175446418537
10.083333333333334,3.3333333333333335,22.37,21.781051270191625
10.125,3.375,21.76,21.781051270191625
10.166666666666666,3.4166666666666665,20.07,20.41857298080699
10.208333333333334,3.4583333333333335,19.2,20.41857298080699
10.25,3.5,21.16,20.831531335311144
10.291666666666666,3.5416666666666665,23.58,20.831531335311144
10.333333333333334,3.5833333333333335,25.19,26.04686590287961
10.375,3.625,26.67,26.04686590287961
10.416666666666666,3.6666666666666665,27.33,27.873517180470387
10.458333333333334,3.7083333333333335,28.19,27.873517180470387
10.5,3.75,28.85,27.18723464874866
10.541666666666666,3.7916666666666665,29.18,27.18723464874866
10.583333333333334,3.8333333333333335,30.19,27.55615616108764
10.625,3.875,30.59,27.55615616108764
10.666666666666666,3.9166666666666665,29.71,26.244642154236047
10.708333333333334,3.9583333333333335,28.64,26.244642154236047
10.75,4.0,27.3,23.757219070097424
10.791666666666666,4.041666666666667,24.61,23.757219070097424
10.833333333333334,4.083333333333333,23.15,19.77286735371398
10.875,4.125,22.42,19.77286735371398
11.083333333333334,4.166666666666667,19.88,21.202053064217402
11.125,4.208333333333333,19.61,21.202053064217402
11.166666666666666,4.25,18.93,20.55294663789964
11.208333333333334,4.291666666666667,17.92,20.55294663789964
11.25,4.333333333333333,20.22,22.409116511104507
11.291666666666666,4.375,20.62,22.409116511104507
11.333333333333334,4.416666666666667,22.57,26.45166824116312
