nmse_train,nmse_test
0.3121345905121873,0.32460476364125224
0.31351965146397187,0.3060196265159385
0.3152379566174367,0.2782133419239906
0.3143658546274083,0.32047884238540514
0.31322979182539973,0.314291133170299
0.31443027121230116,0.3122200450720483
0.31412682407758713,0.332980816312804
0.31521067417993465,0.30539713771090127
0.31396461826931676,0.31614785964847064
0.31031195885328083,0.30009002349052405
0.3138179250141043,0.3190797908226262
0.3124306380588745,0.31159596085218527
0.3141295645215284,0.343212300726081
0.31378843384368166,0.31375210976253337
0.3159110191086599,0.2951673682133976
0.3134556503291729,0.3114949119247402
0.3114604303080414,0.3189831187054094
0.3146861006183821,0.30724488932508437
0.3150503816858,0.31182941108746864
0.3184074759149662,0.32632226224618266
0.31193900066534913,0.3139686715849397
0.3202747553109808,0.30942473849872676
0.3115979942812379,0.31655053372128444
0.32786096644353874,0.3143142442736497
0.31429172014238077,0.31732717895199775
0.313237006489345,0.31283298344809274
0.313263583230346,0.313281497206682
0.3048781645775445,0.3463210732815503
0.3146667131506315,0.305775296807795
0.31904431658933013,0.31468448476261784
0.31562890584533343,0.2854204860805197
0.31091107411160684,0.31649906108270803
